Competition,End time,Biomass,Population size,Growthrate
16cells_1,280.35000000002947,1.9118544629809471,1.9137063306824329,11.956547338146052
16cells_2,287.5500000000311,1.1820159270201531,1.1831530470996479,2.0771234232144806
16cells_3,285.7000000000307,-0.68788996906306854,-0.68309684470644383,-1.3255693933345503
16cells_4,274.90000000002823,0.43040221751558938,0.42717636303409767,1.0469427893824195
16cells_5,288.9500000000314,0.08217196102434994,0.081400849943959463,0.25664594300901716
16cells_6,290.30000000003173,-1.9388023859989845,-1.9407972540657352,-13.056509657947863
16cells_7,275.7500000000284,0.99504130995994478,0.99018443999425099,2.163872918553464
16cells_8,285.50000000003064,-0.73565413616870545,-0.73798667472295854,-1.8459183934133261
16cells_9,270.5000000000272,-0.73676588980657476,-0.73459806369931857,-1.8167583517800605
16cells_11,266.25000000002626,-0.2447621008512573,-0.25309639554306423,-0.26125259217400731
16cells_12,283.2500000000301,-0.084204276206793841,-0.08506837742680462,0.020783849339525255
16cells_13,294.2500000000326,0.68958849694212465,0.69124423041385918,2.7032183518628328
16cells_14,266.25000000002626,-0.2447621008512573,-0.25309639554306423,-0.26125259217400731
16cells_15,267.15000000002647,-0.13089806660941083,-0.13054063026994833,-0.052609363084544093
16cells_16,270.5000000000272,0.43767756801492869,0.43343186595023131,0.51870404747257715
16cells_17,278.6500000000291,0.04599360307881848,0.043084942761083614,0.012454691412824397
16cells_18,289.90000000003164,-0.048952914681503187,-0.051056664654195727,-0.19047279001220127
16cells_19,282.00000000002984,-0.29002945035701022,-0.28305190989534523,-0.50602359410982989
16cells_20,294.2500000000326,1.081634004824108,1.0857417340843305,2.9426376486162926
16cells_21,288.70000000003137,-1.5997401048070354,-1.5969200047506622,-6.134498821627318
16cells_22,270.8500000000273,0.46831324127026341,0.46698972954845619,0.84932306472226493
16cells_23,272.5000000000277,-1.346004311090566,-1.3521886081199903,-4.5499361249356678
16cells_24,280.0000000000294,0.74475033101880983,0.74656734432433403,1.09307218923072
16cells_25,305.5500000000352,0.25672542954636168,0.25628754449684404,0.92138803023460913
