Competition,End time,Biomass,Population size,Growthrate
4_cells_1,314.8000000000031,-1.5388525221062339,-0.27290191492266253,-2.2259694901015288
4_cells_2,323.90000000000515,-1.5888884251482138,-0.39558285360643269,-3.4122548977957625
4_cells_3,294.5999999999985,-2.5819053328592054,-1.360459222549826,-2.4402485722355083
4_cells_4,300.19999999999976,-4.623086794187679,-2.56423242589779,-3.6003418731408199
4_cells_5,305.1000000000009,-1.5018877606985594,-0.38110484289032248,-2.7014693487708583
8_cells_1,300.99999999999994,-3.0112238874512416,-1.4055238922484239,-2.0518556224533913
8_cells_2,339.9000000000088,-1.0683995836072804,0.19170975059379866,-1.5644832348561546
8_cells_3,314.9000000000031,-1.5958538057131262,-0.40270436031122753,-2.3071817533228165
8_cells_4,340.3000000000089,-3.2212113264178548,-1.283062819081543,-2.2020248503125313
8_cells_5,340.5000000000089,-0.80222141055565743,0.43404662970341845,-1.7290054364163088
16_cells_1,343.0,-3.8714752842685241,-1.2083521853323875,-2.5924632623401651
16_cells_2,261.0,-1.0178182264158508,-0.32563094528624681,-3.0586450776771383
16_cells_3,318.0,-5.2345020853870468,-2.2474672589733578,-3.8787991685541723
16_cells_4,281.0,-2.0957397924476577,-1.0568807431599059,-2.1360156555508159
16_cells_5,297.0,-2.2952013287428423,-1.2011162160041577,-2.8311719236798552
32_cells_1,357.9000000000129,-0.30877225397488817,0.92237981617106191,-1.6703698622008474
32_cells_2,361.20000000001363,-1.5025608442289846,-0.10973676300095886,-2.4774329354867701
32_cells_3,336.1000000000079,-0.96867866078459808,0.30022797668523638,-1.7997924568135415
32_cells_4,409.1000000000245,0.84103000716843179,2.0925336400212462,6.2397239464229255
32_cells_5,390.6000000000203,-1.4189238883982183,0.10580350807882573,-2.0736746500026721
