Competition,End time,Biomass,Population size,Growthrate
4_cells_1,280.5999999999953,-0.45124991218839122,-0.44640582349601271,-1.0733092225744927
4_cells_2,291.5999999999978,-0.16895812659676149,-0.16813553784824994,-0.26476654206568812
4_cells_3,280.5999999999953,-0.45124991218839122,-0.44640582349601271,-1.0733092225744927
4_cells_4,271.99999999999335,-0.3337396669490898,-0.33797669240781208,-0.094561900489022188
4_cells_5,268.2999999999925,0.63636324291847135,0.63526746288335845,0.44753283175362418
4_cells_6,256.19999999998976,0.67044555149548291,0.67185161862309029,0.47041226384346035
8_cells_1,290.1999999999975,-0.60630683035877153,-0.6040321213519747,-0.59627707720862233
8_cells_2,290.1999999999975,-0.60630683035877153,-0.6040321213519747,-0.59627707720862233
8_cells_3,284.39999999999617,0.52205690915948288,0.52316280132796944,0.27481799337036239
8_cells_4,284.1999999999961,-1.8972586330995473,-1.8958650859874131,-15.186607643607417
8_cells_5,303.9000000000006,-0.36617241465281242,-0.36527693730391148,-0.32478673159913307
8_cells_6,289.59999999999735,-0.70912336594781189,-0.71718816195050472,-0.14009885893417204
16_cells_1,278.99999999999494,0.46779469564943998,0.46893543080950217,0.76790399195166292
16_cells_2,278.99999999999494,0.46779469564943998,0.46893543080950217,0.76790399195166292
16_cells_3,287.4999999999969,-0.26098526690010543,-0.26182890784258894,-0.29072762235362443
16_cells_4,286.89999999999674,-0.22275177601319851,-0.22869092464308502,0.3158571064251367
16_cells_5,330.10000000000656,-0.04892525073713893,-0.045441375819611898,-0.33918518713380075
16_cells_6,319.7000000000042,-1.2068360086553092,-1.1927377658052722,-9.9442367555388795
32_cells_1,309.30000000000183,-0.48040731171085033,-0.47305539420274645,-2.5195553996846267
32_cells_2,309.30000000000183,-0.48040731171085033,-0.47305539420274645,-2.5195553996846267
32_cells_3,309.2000000000018,0.28038713876368776,0.27605403445666182,0.74090404900970752
32_cells_4,304.3000000000007,-0.23716280205248869,-0.23834974830940772,-0.53794140524468059
32_cells_5,297.09999999999906,-0.38159472629128732,-0.3817110221000572,-0.74377276524020186
32_cells_6,313.6000000000028,-0.50983125067236335,-0.50752843626535804,-0.33159329746622956
