Competition,End time,Biomass,Population size,Growthrate
4_cells_1,149.1999999999958,0.12893095733093118,0.12522830378492278,0.21757353846657476
4_cells_2,152.59999999999562,-1.2658268343028714,-1.2282374263255671,-4.5184822107759697
4_cells_3,148.39999999999586,0.076001413392048689,0.07387263021149254,0.25703428005608808
4_cells_4,150.8999999999957,0.14778233290933945,0.1532145438232469,0.071967086779275102
4_cells_5,149.69999999999578,-0.10093463206931966,-0.10055175659040382,-0.085264985157895365
8_cells_1,166.7999999999948,-0.0033823254195738746,-0.0038433869073967153,0.24272499008059617
8_cells_2,150.59999999999573,2.4248987946435823,2.3660296473757776,7.5166951770447525
8_cells_3,160.89999999999515,-0.022962381314393807,-0.03011583982203335,0.11228567520598151
8_cells_4,161.8999999999951,-0.80207903908310474,-0.77438821072559039,-1.9052835406008752
8_cells_5,160.69999999999516,-0.51291484260719977,-0.50389092605872654,-0.88566327729007877
16_cells_1,166.7999999999948,1.3148962172922847,1.2800472528238518,3.3521634758111083
16_cells_2,167.0999999999948,-0.32657989380669417,-0.31211157087678365,-0.69140140108965187
16_cells_3,162.19999999999507,-2.5418310449392969,-2.4520684783982052,-9.1387333345928052
16_cells_4,163.299999999995,0.83246034199332486,0.81729867168434667,1.1253010183958678
16_cells_5,162.69999999999504,0.75998256320114976,0.7555790662368892,0.64469310771381927
32_cells_1,157.29999999999535,0.14579384903817413,0.13213013810176336,0.86519835544566548
32_cells_2,166.69999999999482,-0.080772863698973657,-0.075057439468429826,-0.049730275952841893
32_cells_3,161.6999999999951,0.069764477226345198,0.074547210813785125,0.071461332565653735
32_cells_4,160.89999999999515,-0.48131127724257755,-0.4742577593521804,-0.5885504767372014
32_cells_5,172.0999999999945,1.3084857249271966,1.2675032730561968,3.2212229289031726
