Competition,End time,Biomass,Population size,Growthrate
4_cells_1,145.19999999999604,3.121873571377936,2.8239072518405499,19.97014868831462
4_cells_2,149.99999999999577,2.4979422940278453,2.1986074221492533,14.016691834644023
4_cells_3,147.89999999999588,2.1763982020869719,1.8601629414641627,11.278311066123797
4_cells_4,164.49999999999494,0.22320676748781329,-0.11319715434621902,1.0854895813782646
8_cells_1,165.69999999999487,1.1031176067421657,0.76827890999196513,4.0318414582682784
8_cells_2,164.9999999999949,3.0252698798724955,2.7136013652383357,11.062628850283964
8_cells_3,157.69999999999533,2.597572028250438,2.2802579141762602,18.765619493807314
8_cells_4,152.29999999999563,1.1284952798901777,0.80434785373711626,3.4873196021937467
16_cells_1,163.299999999995,2.0787605432146368,1.7593867001162522,12.755667332413509
16_cells_2,166.7999999999948,2.9473088421108224,2.6284237017766863,11.073335270457543
16_cells_3,161.09999999999513,2.5461773179088647,2.2504124612184468,21.266948372588921
16_cells_4,160.39999999999517,3.1792759783006952,2.871007942967303,11.078466227512878
16_cells_5,157.39999999999534,2.4139132793584999,2.1013440862894526,11.621988325122084
32_cells_1,163.299999999995,3.1128588957267844,2.8079392773084981,11.095275984529097
32_cells_2,168.4999999999947,3.1205314080264941,2.8099614759935583,11.078124433598472
32_cells_3,157.09999999999536,2.9156211703477211,2.6153310163522554,11.139069665418941
32_cells_4,164.49999999999494,2.590273104152133,2.2777497057731857,11.11718254676169
