Competition,4 cells,8 cells,16 cells,32 cells,4 cells stats,8 cells stats,16 cells stats,32 cells stats
SAR_ASNR_end,31 of 50,37 of 50,48 of 50,50 of 50,0.11892045255943637,0.00093622291085182442,2.2666313270747196e-12,1.7763568394002505e-15
control_ASNR_ASNR_end,19 of 50,29 of 50,24 of 50,25 of 50,0.11892045255943637,0.32223632035754712,0.88772482734078262,1.0
control_SAR_SAR_end,35 of 50,25 of 50,20 of 50,29 of 50,0.0066004479668109149,1.0,0.20263875106454063,0.32223632035754712
