Competition,4 cells,8 cells,16 cells,32 cells,4 cells stats,8 cells stats,16 cells stats,32 cells stats
SAR_ASNR_end,28 of 50,38 of 50,48 of 50,50 of 50,0.47988766169832769,0.00030586400160359539,2.2666313270747196e-12,1.7763568394002505e-15
control_ASNR_ASNR_end,21 of 50,27 of 50,23 of 50,23 of 50,0.32223632035754712,0.67181103376536544,0.67181103376536544,0.67181103376536544
control_SAR_SAR_end,29 of 50,24 of 50,19 of 50,27 of 50,0.32223632035754712,0.88772482734078262,0.11892045255943637,0.67181103376536544
