Competition,End time,Biomass,Population size,Growthrate
4_cells_1,136.19999999999655,1.1996268057543402,0.84249246911226505,2.3275022942683297
4_cells_2,136.19999999999655,1.1996268057543402,0.84249246911226505,2.3275022942683297
4_cells_3,128.499999999997,1.1132736656243438,0.75806049513961138,4.1627921090212974
4_cells_4,126.49999999999709,2.1896022740337133,1.8556467366793061,7.2226031769122168
4_cells_5,130.79999999999686,2.3754651657607235,2.0320455664674828,15.243051423777908
8_cells_1,134.39999999999665,2.1394777204444839,1.7839112150192953,11.758257695475876
8_cells_2,134.39999999999665,2.1394777204444839,1.7839112150192953,11.758257695475876
8_cells_3,138.6999999999964,3.3429634208108339,3.022589798245733,25.64656995239087
8_cells_4,131.19999999999683,2.2695094178459891,1.9345302253925507,18.148406103599608
8_cells_5,133.99999999999667,3.3831171823985127,3.0792429064271607,25.159428617626919
16_cells_1,136.69999999999652,2.9241248187675759,2.5880325276444105,22.870804944089112
16_cells_2,136.69999999999652,2.9241248187675759,2.5880325276444105,22.870804944089112
16_cells_3,138.39999999999642,2.9912245908332573,2.6499118753759126,24.158368155314154
16_cells_4,132.29999999999677,2.400683180722504,2.0677602723108666,16.05483770672139
16_cells_5,145.09999999999604,3.8902880582186481,3.556841267679955,11.068105358030159
32_cells_1,142.2999999999962,3.2714745364681121,2.9529205794766886,11.05244184563816
32_cells_2,139.59999999999636,3.5932732465532795,3.2637030766625732,11.104849737587623
32_cells_3,146.19999999999598,3.2557009413475106,2.9272397573297075,11.10073650716172
32_cells_4,139.19999999999638,2.9081270980241545,2.573154945606408,22.301722310352467
32_cells_5,141.89999999999623,3.5872741423154566,3.2654871874432554,11.082008669671762
