Competition,End time,Biomass,Population size,Growthrate
4_cells_1,260.19999999999067,-1.8347140285332209,-0.94039323730805768,-2.7369030707858504
4_cells_2,268.5999999999926,-1.6139741324865273,-0.68206059250360473,-2.3289627312890362
4_cells_3,251.19999999999,-1.4455475054565297,-0.56427590552182638,-1.817668098551094
4_cells_4,293.19999999999817,-2.9845084527580967,-1.4009401528014267,-2.2316223999744711
4_cells_5,251.19999999999,-2.795782979998525,-1.6502563686906877,-2.3164849781925199
32_cells_1,380.9000000000181,1.2843157635984219,2.4441060507743839,7.2747192266026035
32_cells_2,374.50000000001666,1.4786128612011316,2.645712155691855,6.2765282508337865
32_cells_3,372.30000000001615,1.2293323575686574,2.358143607244398,7.6615561964513761
32_cells_4,330.10000000000656,-0.89780316011371797,0.3551557964173106,-1.420915061770115
32_cells_5,368.0000000000152,1.8387413087996132,2.9975682593818433,6.0690812643693821
8_cells_1,278.7999999999949,-1.5256236921723318,-0.52048602312074066,-1.9659120283669265
8_cells_2,287.6999999999969,-1.1280345052941136,-0.17709264128105276,-2.2147458005626706
8_cells_3,267.3999999999923,-1.5174244609839593,-0.56565031425971912,-1.9294235691684516
8_cells_4,365.20000000001454,-0.43142471376494068,0.72430614315892716,-1.5075247639973977
8_cells_5,319.00000000000404,-1.3853547555466932,-0.31105385229954352,-2.3597891220932481
16_cells_1,363.8000000000142,0.060009320932618571,1.1730283366109118,-2.1038775769843308
16_cells_2,319.7000000000042,-1.215151213656557,-0.097174380530624063,-1.7828627684272518
16_cells_3,360.7000000000135,1.0919226832056037,2.2178026350763753,5.3437765813976936
16_cells_4,358.70000000001306,1.5995291209237161,2.7273685668877157,7.0104687965729928
16_cells_5,373.0000000000163,1.331107868530923,2.4852169678665184,7.2891929924582959
