Competition,End time,Biomass,Population size,Growthrate
4_cells_1,343.4000000000096,-5.3255804208625577,-2.8836046875791252,-0.64054148959878376
4_cells_2,368.40000000001527,0.60897567837338118,0.42766464923661929,-0.98545682361312592
4_cells_3,334.8000000000076,-0.90393712934360593,-0.84039926535803122,-0.79471618021874757
4_cells_4,340.4000000000089,-0.089261634341102181,-0.10655048604898938,0.24892015637782469
4_cells_5,354.30000000001206,0.047201798684288955,0.14671171185095508,-0.35347582685721535
8_cells_1,373.20000000001636,0.73895763134191617,0.41585547021191172,0.16627200359195077
8_cells_2,355.10000000001224,-0.32458802372698609,-0.3640628000425985,-0.27286447027475713
8_cells_3,359.3000000000132,-0.83516268618308853,-0.52115128710209091,-0.65434848702192461
8_cells_4,345.20000000001,-0.25346097080495,-0.30144440172796766,0.11385690782396604
8_cells_5,372.80000000001627,-1.7865370706292505,-1.2257875047355358,-0.53922698840002559
16_cells_1,395.10000000002134,-0.60295900607182951,-0.56173077731400956,0.76627642602722157
16_cells_2,391.5000000000205,-0.86732732351395314,-0.59052860935385698,-1.4096554332458267
16_cells_3,379.5000000000178,1.17001368146072,0.74749258108830885,-0.029062043514349666
16_cells_4,347.8000000000106,1.7434098304937615,0.94668136557916427,0.48964871408747812
16_cells_5,375.900000000017,3.3699367674328671,1.7323996235689352,0.25581800124557119
32_cells_1,363.8000000000142,2.7963332427309568,1.4247880658805545,-0.49513032435201521
32_cells_2,379.9000000000179,-1.5537173935978714,-0.96062381513612172,-0.71736252770743925
32_cells_3,378.6000000000176,4.6144846815782783,1.6961969712491751,1.3137229534154753
32_cells_4,402.500000000023,-2.4458103652952956,-1.0770443678941104,-0.045604831174776386
32_cells_5,387.30000000001957,-0.52924832599957727,-0.50511154312462692,1.3631353693013326
